,stocks,dates,BasicEPS,DilutedEPS,CashEPS,DivPS,OpRev,NPS,ROCE,NPMargin,ROA,ROE2Networth,EntValue,EntValuePerNetSales,Price2Book,Price2Sales,RetentionRatios,EarningYield,AssetTurnRatio,EVPerEBITDA,PBDITMargin
346,HDFCLIFE,Mar 15,3.94,3.93,3.94,0.70,4.37,3.94,1.19,90.10,1.13,26.84,0.00,0.00,0.00,0.00,82.22,0.00,1.25,0.00,92.29
347,HDFCLIFE,Mar 14,3.64,3.64,3.64,0.50,4.41,3.64,1.26,82.47,1.38,37.60,0.00,0.00,0.00,0.00,86.24,0.00,1.68,0.00,73.06
348,HDFCLIFE,Mar 13,2.24,2.24,2.24,0.00,2.31,2.24,1.11,97.08,1.06,34.25,0.00,0.00,0.00,0.00,0.00,0.00,1.10,0.00,98.00
349,HDFCLIFE,Mar 12,1.36,1.36,1.36,0.00,1.49,1.36,0.83,91.21,0.80,31.49,0.00,0.00,0.00,0.00,0.00,0.00,0.87,0.00,91.21
350,GRASIM,Mar 21,13.78,13.77,26.34,9.00,188.23,13.75,2.60,7.30,1.65,2.10,99433.86,8.03,2.22,7.71,70.97,0.01,22.64,47.85,16.77
351,GRASIM,Mar 20,19.63,19.61,31.95,4.00,244.48,19.58,4.39,8.00,2.59,3.41,36112.60,2.25,0.83,1.94,64.33,0.04,32.43,13.57,16.54
352,GRASIM,Mar 19,7.84,7.84,19.40,7.00,312.51,7.84,8.62,2.50,0.99,1.22,59296.35,2.89,1.35,2.75,20.87,0.01,39.66,12.78,22.57
353,GRASIM,Mar 18,29.20,29.17,36.45,6.20,240.18,26.91,6.12,11.20,3.29,3.94,71831.86,4.55,1.55,4.39,0.00,0.03,29.38,20.28,22.43
354,GRASIM,Mar 17,33.42,33.38,42.97,5.50,221.61,33.42,12.60,15.07,7.85,9.61,49382.99,4.77,3.02,4.74,0.00,0.03,52.11,18.79,25.40
355,GRASIM,Mar 16,102.13,102.04,150.02,22.50,961.93,102.12,6.77,10.61,5.61,7.70,37438.08,4.17,2.90,3.99,77.96,0.03,52.87,20.12,20.71
356,GRASIM,Mar 15,57.69,57.63,86.26,18.00,689.30,57.68,4.15,8.36,3.68,4.73,34154.24,5.39,2.98,5.25,68.15,0.02,44.07,33.71,15.99
357,GRASIM,Mar 14,97.58,97.54,121.49,21.00,610.20,97.57,7.25,15.98,6.45,8.27,27612.43,4.93,2.45,4.73,78.47,0.03,40.37,22.16,22.23
358,GRASIM,Mar 13,133.62,133.51,150.93,22.50,572.57,133.58,10.65,23.32,9.39,12.11,26962.17,5.13,2.55,4.91,83.15,0.05,40.26,17.71,28.97
359,GRASIM,Mar 12,128.33,128.22,144.06,22.50,541.90,128.34,11.82,23.68,10.66,12.93,24733.09,4.98,2.65,4.85,82.46,0.05,45.03,14.36,34.64
360,COALINDIA,Mar 21,12.40,12.40,12.44,16.00,1.04,12.40,34.91,1193.29,33.95,45.60,80131.73,125.16,4.80,125.63,-0.82,0.10,2.84,10.41,1201.91
361,COALINDIA,Mar 20,18.31,18.31,18.39,12.00,1.37,18.31,52.02,1334.76,50.36,67.09,85206.74,100.82,5.13,102.12,34.44,0.13,3.77,7.50,1343.99
362,COALINDIA,Mar 19,16.87,16.87,17.03,13.10,1.52,16.99,57.78,1120.58,54.98,74.79,145679.94,155.92,10.43,156.20,22.58,0.07,4.90,13.73,1135.25
363,COALINDIA,Mar 18,14.97,14.97,15.00,16.50,0.59,14.97,54.45,2549.63,50.33,73.20,175491.99,481.46,13.86,482.96,-10.20,0.05,1.97,19.34,2489.74
364,COALINDIA,Mar 17,23.12,23.12,23.39,19.90,0.47,23.36,81.76,5001.75,76.77,104.17,180830.87,623.81,13.06,628.33,14.80,0.08,1.53,12.57,4964.64
365,COALINDIA,Mar 16,26.27,26.27,26.30,27.40,0.26,26.27,85.54,10024.16,77.61,103.41,179973.14,1087.25,11.49,1114.50,-4.30,0.09,0.77,10.80,10065.13
366,COALINDIA,Mar 15,21.19,21.19,21.20,20.70,0.61,21.19,67.35,3457.16,60.42,79.97,220517.50,569.64,13.68,592.16,2.30,0.06,1.74,15.86,3591.56
367,COALINDIA,Mar 14,23.76,23.76,23.77,29.00,0.50,23.76,78.36,4775.98,59.93,91.26,172030.16,547.43,11.06,579.28,-22.04,0.08,1.25,10.97,4991.45
368,COALINDIA,Mar 13,15.65,15.65,15.51,14.00,0.56,15.51,40.98,2780.50,28.77,47.73,178080.38,505.55,9.52,555.03,9.71,0.05,1.03,16.61,3042.94
369,COALINDIA,Mar 12,12.83,12.83,12.78,10.00,0.66,12.77,35.28,1939.37,26.26,41.22,202585.13,487.15,11.08,521.43,21.68,0.04,1.35,22.55,2160.62
370,SBILIFE,Mar 21,14.56,14.55,14.56,2.50,819.07,14.56,0.79,1.77,0.64,11.09,85345.72,1.04,6.71,1.08,82.82,0.02,0.42,48.25,2.15
371,SBILIFE,Mar 20,14.22,14.22,14.23,0.00,437.96,14.22,1.36,3.24,0.85,16.26,62673.46,1.43,7.33,1.46,0.00,0.02,0.28,28.20,5.07
372,SBILIFE,Mar 19,13.27,13.27,13.27,2.00,444.70,13.27,1.20,2.98,0.90,17.51,55534.37,1.25,7.65,1.30,84.92,0.02,0.33,32.09,3.89
373,SBILIFE,Mar 18,11.50,11.50,11.51,2.00,337.70,11.50,1.36,3.40,0.94,17.62,64700.37,1.92,10.32,1.99,82.61,0.02,0.30,40.03,4.78
374,SBILIFE,Mar 17,9.55,9.55,9.55,1.50,305.45,9.55,1.16,3.12,0.93,17.46,0.00,0.00,0.00,0.00,84.28,0.00,0.33,0.00,3.77
375,SBILIFE,Mar 16,8.44,8.44,8.44,1.20,9.70,8.44,1.05,87.06,1.01,17.83,0.00,0.00,0.00,0.00,85.78,0.00,1.16,0.00,88.22
376,SBILIFE,Mar 15,8.15,8.15,8.15,1.20,9.83,8.15,1.14,82.86,1.09,20.08,0.00,0.00,0.00,0.00,85.27,0.00,1.32,0.00,84.36
377,SBILIFE,Mar 14,7.28,7.28,7.28,1.00,10.26,7.28,1.23,70.96,1.20,21.68,0.00,0.00,0.00,0.00,86.25,0.00,1.69,0.00,70.99
378,SBILIFE,Mar 13,6.30,6.30,6.30,0.50,8.92,6.30,1.20,70.67,1.17,23.02,0.00,0.00,0.00,0.00,92.06,0.00,1.65,0.00,70.70
379,SBILIFE,Mar 12,5.56,5.56,5.56,0.50,6.93,5.56,1.18,80.21,1.15,25.78,0.00,0.00,0.00,0.00,91.00,0.00,1.43,0.00,80.21
380,BAJAJ-AUTO,Mar 22,173.60,173.60,182.74,140.00,1145.41,173.44,22.76,15.14,15.72,18.81,105104.05,3.17,3.96,3.19,0.00,0.05,103.83,16.25,19.51
381,BAJAJ-AUTO,Mar 21,157.50,157.50,166.36,140.00,958.67,157.40,22.96,16.41,14.44,18.07,105720.62,3.81,4.22,3.83,0.00,0.04,87.98,17.04,22.36
382,BAJAJ-AUTO,Mar 20,176.30,176.30,184.76,120.00,1033.92,176.24,32.08,17.04,20.58,25.59,58286.26,1.95,2.94,1.96,-2.12,0.09,120.76,8.53,22.82
383,BAJAJ-AUTO,Mar 19,161.60,161.60,170.75,60.00,1045.37,161.56,28.28,15.45,17.07,21.46,83429.99,2.76,3.87,2.79,62.86,0.06,110.48,12.58,21.92
384,BAJAJ-AUTO,Mar 18,140.60,140.60,151.46,60.00,869.65,140.58,29.50,16.16,17.07,21.29,78887.69,3.13,4.16,3.16,60.87,0.05,105.64,12.87,24.36
385,BAJAJ-AUTO,Mar 17,132.30,132.30,142.89,55.00,752.21,132.27,30.32,17.58,18.38,22.46,81066.85,3.72,4.77,3.73,96.22,0.05,104.57,14.36,25.93
386,BAJAJ-AUTO,Mar 16,135.80,135.80,146.42,55.00,780.54,135.80,28.67,17.39,23.83,29.62,68765.80,3.04,5.25,3.08,26.36,0.06,137.00,11.74,25.92
387,BAJAJ-AUTO,Mar 15,97.20,97.20,106.48,50.00,746.86,97.24,25.38,13.01,18.08,26.31,57901.68,2.68,5.46,2.70,48.57,0.05,138.87,12.32,21.74
388,BAJAJ-AUTO,Mar 14,112.10,112.10,118.29,50.00,696.32,112.08,32.37,16.09,21.99,33.75,59702.03,2.96,6.26,2.98,55.39,0.05,136.62,12.41,23.88
389,BAJAJ-AUTO,Mar 13,105.20,105.20,110.85,45.00,691.06,105.18,36.47,15.21,24.39,38.51,51451.43,2.57,6.57,2.60,57.21,0.06,160.25,11.61,22.15
390,M&M,Mar 21,2.25,2.24,20.94,8.75,376.98,2.25,12.35,0.59,0.45,0.77,95836.31,2.13,2.75,2.11,-8.74,0.00,75.58,12.40,17.15
391,M&M,Mar 20,11.16,11.12,29.78,2.35,381.28,11.15,13.26,2.92,2.63,3.86,32697.16,0.72,0.99,0.75,10.76,0.04,90.07,4.38,16.41
392,M&M,Mar 19,40.29,40.13,55.86,8.50,449.93,40.25,16.86,8.94,9.10,14.01,78800.35,1.47,2.34,1.49,80.56,0.06,101.74,9.46,15.53
393,M&M,Mar 18,36.64,36.47,49.04,7.50,409.14,36.61,16.95,8.94,9.18,14.37,88050.00,1.81,2.91,1.81,78.75,0.05,102.67,12.13,14.91
394,M&M,Mar 17,30.69,30.54,87.09,13.00,742.12,61.38,14.28,8.27,9.11,13.60,77347.75,1.76,2.85,1.73,76.91,0.05,110.22,13.20,13.30
395,M&M,Mar 16,53.05,52.80,72.10,12.00,689.71,54.07,12.49,7.83,9.02,14.29,71245.22,1.74,3.20,1.75,73.57,0.04,115.14,13.03,13.38
396,M&M,Mar 15,56.23,53.66,72.64,12.00,658.53,56.16,13.85,8.52,10.08,17.25,70763.66,1.82,3.65,1.80,77.55,0.05,118.21,14.09,12.89
397,M&M,Mar 14,63.67,61.07,78.29,14.00,686.21,63.67,16.68,9.27,12.01,22.39,58684.50,1.45,3.45,1.43,77.05,0.06,129.46,10.79,13.42
398,M&M,Mar 13,56.85,54.61,68.84,13.00,685.07,56.80,17.36,8.29,12.21,22.88,52281.07,1.29,3.47,1.26,76.19,0.07,147.30,9.94,13.00
399,M&M,Mar 12,48.97,46.89,58.66,12.50,540.77,48.87,17.39,9.03,12.03,24.08,43035.99,1.35,3.43,1.29,73.34,0.07,133.21,10.16,13.29
400,SHREECEM,Mar 21,640.77,640.77,956.72,60.00,3489.02,640.78,18.67,18.36,10.98,15.16,107977.11,8.58,6.97,8.45,0.00,0.02,59.83,24.47,35.05
401,SHREECEM,Mar 20,445.08,445.08,906.21,110.00,3299.33,435.19,14.46,13.19,8.11,12.13,65649.70,5.51,4.90,5.33,66.95,0.02,61.55,16.64,33.14
402,SHREECEM,Mar 19,273.00,273.00,672.43,60.00,3364.52,272.98,11.40,8.11,6.25,9.90,67392.33,5.75,6.76,5.54,79.85,0.01,77.15,23.25,24.72
403,SHREECEM,Mar 18,397.33,397.33,655.45,50.00,2822.36,397.30,11.36,14.07,9.14,15.55,59649.44,6.07,6.34,5.73,88.92,0.02,64.93,20.84,29.10
404,SHREECEM,Mar 17,384.39,384.39,733.01,140.00,2466.79,384.36,14.59,15.58,11.99,17.39,60479.16,7.04,7.70,6.90,69.82,0.02,76.96,21.04,33.45
405,SHREECEM,Mar 16,328.13,328.13,565.64,24.00,1582.56,328.11,13.77,20.73,12.07,16.69,43917.87,7.97,6.32,7.85,88.41,0.03,58.26,21.12,37.71
406,SHREECEM,Jun 15,122.38,122.38,387.80,24.00,1852.35,122.37,6.50,6.60,5.33,8.07,39763.24,6.16,7.48,6.11,80.38,0.01,80.69,26.84,22.95
407,SHREECEM,Jun 14,225.98,225.98,383.80,22.00,1689.81,225.96,13.50,13.37,10.74,16.71,26165.63,4.44,5.36,4.29,90.26,0.03,80.33,16.62,26.74
